$English - Magyar
#Az utcán

avenue	sugárút
tired	fáradt
weary	elcsigázott
exhausted	kimerült
annoyed	bosszús
angry	mérges
furious	haragos
livid	felrobban a haragtól
disgusted	undorodó
confident	magabiztos
sensitive	érzékeny
calm	nyugodt
hot-headed	forró fejű
impulsive	lobbanékony
cheerful	vidám
generous	bőkezű
kind	kedves
mean	gonosz
crazy	bolond
sensible	ésszerű
serious	komoly
honest	őszinte
dishonest	nem becsületes, tisztességtelen
good-humoured	jó humorú
bad-tempered	összeférhetetlen
moody	szeszélyes
hard-working	szorgalmas
lazy	lusta
clever	okos
intelligent	inteligens
unintelligent	unintelligens
arrogant	arogáns
snobbish	sznob
happy	boldog
unhappy	boldogtalan
stupid	buta
outgoing	társaságkedvelő
cautious	óvatos
adventurous	kalandos
shy	szégyenlős
introverted	befelé forduló (introverált)
extroverted	kifelé forduló (extroverált)
easy-going	könnyű kijönni vele
rude	szemtelen
bad-mannered	rossz modorú
impolite	tiszteletlen
emotional	érzelgős
polite	tisztelettudó
funny	vicces
witty	szellemes
boring	unalmas
patient	türelmes
impatient	türelmetlen
sophisticated	kitanult
crude	bárdolatlan
cheeky	pimasz
friendly	barátságos
unfriendly	barátságtalan
conceited	beképzelt
modest	szerény
brave	bátor
cowardly	gyáva
absent-minded	figyelmetlen
talented	tehetséges
obedient	szófogadó
disobedient	engedetlen
principled	elvekkel bíró
corrupt	korrupt
unscrupulous	lelkiismeretlen

#Ház és kert

attic	tetőtér
bathroom	fűrdőszoba
bedroom	hálószoba
cellar	pince
conservatory	üvegház
dining room	étkező
hall	előszoba
kitchen	konyha
landing	lépcsőforduló
lavatory	mosdó
living room	nappali
loft	padlás
lounge	társalgó
shower room	zuhanyzó helyiség
study	dolgozó szoba
sun lounge	napos helyiség
toilet	toalett
utility room	mosókonyha
wc	wc
back door	hátsó ajtó
bath	fürdő
ceiling	plafon
central heating	központi fűtés
chimney	kémény
door	ajtó
doorbell	ajtócsengő
drainpipe	esőcsatorna
double glazing	dupla falú ablaküveg
fireplace	kandalló
floor	padló
front door	bejárati ajtó
guttering	ereszcsatorna
roof	tető
shower	zuhany
stairs	lépcső
staircase	lépcső
wall	fal
window	ablak
downstairs	földszint
upstairs	emelet
gas bill	gáz számla
electricity bill	elektromossági számla
telephone bill	telefon számla
water bill	víz számla
to do the housework	elvégezni a házimunkát
back garden	hátsó kert
clothes line	ruhaszárító kötél
drain	csatorna, eresz
drive	kocsifeljáró
dustbin	kuka
fence	kerítés
flower bed	virágágyás
flowerpot	virágcserép
front garden	első kert
garage	garázs
garden furniture	kerti bútor
gate	kapu
gravel	sóder
greenhouse	üvegház
hanging basket	függőkosár
hedge	sövény
lawn	gyep
letterbox	levelesláda
logs	farönkök
orchard	gyümölcsös
path	kerti ösvény
patio	terasz
plants	növények
pond	tavacska, kis tó
shed	kerti fabódé, kerti szerszámok raktára
swimming pool	úszómedence
swing	hinta
trampoline	trambulin
vegetable garden	zöldségek
weeds	gaz
to mow the lawn	megnyírni a füvet
axe	balta
fork	villa, vasvilla
hoe	kapa
hose vagy hosepipe	öntözőcső
lawn mower	fűnyíró
rake	gereblye
secateurs	metszőolló
shears	kerti ollló
spade	ásó
trowel	ültetőkanál
watering can	öntözőkanna
wheelbarrow	talicska
fridge, refrigerator	hűtő
coffee pot	kávéfőző
cooker	sütő
dishwasher	mosogatógép
freezer	fagyasztó
kettle	vízforraló
oven	sütő
stove	tűzhely
toaster	kenyérpirító
washing machine	mosógép
bottle opener	üvegnyitó
chopping board	vágódeszka
colander	szűrőedény
corkscrew	dugóhúzó
frying pan	serpenyő
grater, cheese grater	reszelő/sajtreszelő
juicer	facsaró
kitchen foil	alufólia
kitchen scales	konyhai mérleg
ladle	merőkanál
mixing bowl	keverőtál
oven cloth	konyharuha sütőhöz
oven gloves	sütőkesztyű
rolling pin	sodrófa
saucepan	lábos
scouring pad, scourer	mosogatószivacs, dörzsi
sieve	szita
tin opener	konzervnyitó
tongs	konyhai fogó
tray	tálca
whisk	habverő
wooden spoon	fakanál
knife	kés
fork	villa
spoon	kanál
dessert spoon	kiskanál
soup spoon	evőkanál
tablespoon	evőkanál
teaspoon	kiskanál
carving knife	metszőkés
chopsticks	evőpálcika
cup	csésze
bowl	tál
crockery	étkészlet (tányérok, edények)
glass	pohár
jar	befőttes üveg
jug	kancsó
mug	bögre
plate	tányér
saucer	csészealj
sugar bowl	cukortartó
teapot	teáskanna
wine glass	boros pohár
bin	szemetes
cling film, plastic wrap	folpack
cookery book	szakácskönyv
dishcloth	szőtt edényalátét
draining board	csepptálca
grill	grillsütő
kitchen roll	konyhai papírtörlő
plug	lefolyódugó
tea towel	konyharuha
shelf	polc
sink	mosogató
tablecloth	asztalterítő
washing-up liquid	mosogatószer
to do the dishes	elmosogatni
to do the washing up	elmosogatni
to clear the table	leszedni az asztalt
to set the table, to lay the table	megteríteni az asztalt
armchair	karosszék
bed	ágy
bedside table	éjjeliszekrény
bookcase	könyvesszekrény
bookshelf	könyvespolc
chair	szék
chest of drawers	fiókos szekrény
clock	óra
coat stand	fogas
coffee table	kávézóasztal
cupboard	fali szekrény
desk	íróasztal
double bed	franciaágy
dressing table	fésülködőasztal
drinks cabinet	bárszekrény
filing cabinet	iratszekrény
mirror	tükör
piano	zongora
sideboard	tálaló
single bed	ágy
sofa	kanapé
sofa-bed	rekamié
stool	támlátlan szék, zsámoly
table	asztal
wardrobe	szekrény
alarm clock	ébresztőóra
bathroom scales	fürdőszobai mérleg
blu-ray player	blu-ray lejátszó
cd player	cd lejátszó
dvd player	dvd lejátszó
electric fire	elektromos kandalló
games console	játékkonzol
gas fire	gáz kandalló
hoover, vacuum cleaner	porszívó
iron	vasaló
lamp	lámpa
radiator	radiátor
radio	rádió
record player	lemezjátszó
spin dryer	szárítógép
stereo	magnó
telephone	telefon
washing machine	mosógép
blanket	pokróc
blinds	ablakredőny
carpet	szőnyeg
curtains	függöny
cushion	kispárna
duvet	paplan
mattress	matrac
pillow	párna
pillowcase	párnahuzat
rug	kisszőnyeg
sheet	lepedő
tablecloth	terítő
towel	törülköző
wallpaper	tapéta
bin	szemeteskosár
broom	partvis
bucket	vödör
coat hanger	vállfa
cold tap	hidegvízcsap
door handle	ajtókilincs
door knob	gombkilincs
doormat	lábtörlő
dustbin	szemetes
dustpan and brush	seprű és lapát
flannel	flanel
fuse box	biztosítékszekrény
hot tap	melegvízcsap
houseplant	szobanövény
ironing board	vasaló deszka
lampshade	lámpaernyő
light switch	villanykapcsoló
mop	felmosórongy
ornament	díszítés
painting	festmény
picture	kép
plug	konnektor
plug	lefolyódugó
plug socket, power socket	csatlakozó aljzat, konnektor
plughole	lefolyó
poster	poszter
sponge	szivacs
tap	csap
torch	zseblámpa
vase	váza
waste paper basket	papírkosár
candle	gyertya
cotton	vatta
envelopes	borítékok
firelighters	gyújtós
fuse	biztosíték
glue	ragasztó
light bulb	villanykörte
lighter	öngyújtó
matches	gyufa
needle	tű
safety pin	biztosítótű
scissors	olló
sellotape	cellux
stamps	bélyeg
pen	toll
pencil	ceruza
tissues	papírzsebkenő
toilet paper, toilet roll	wc papír
toothpaste	fogkrém
tube of toothpaste	fogkrémes tubus
writing paper	írólap
bin bag vagy bin liner	szemeteszsák
bleach	fehérítő / hipó
detergent	tisztítószer
disinfectant	fertőtlenítő
dustbin bag	szemeteszsák
duster	porrongy
fabric softener	öblítő
floorcloth	felmosórongy
furniture polish	bútorfényező
hoover bag	porszívózsák
shoe polish	cipőkrém / cipőpaszta
soap	szappan
washing powder	mosópor

#Időjárás

sun	nap
sunshine	napsütés
rain	eső
snow	hó
hail	jégeső
drizzle	szitálás
sleet	havas eső
shower	zuhé
mist	pára
fog	köd
cloud	felhő
rainbow	szivárvány
wind	szél
breeze	szellő
strong winds	erős szél
thunder	mennydörgés
lightning	villámlás
storm	vihar
thunderstorm	vihar
gale	erős szél
tornado	tornádó
hurricane	hurrikán
flood	árvíz
frost	fagy
ice	jég
drought	szárazság
heat wave	melegfront
windy	szeles
cloudy	felhős
foggy	ködös
misty	párás
icy	jeges
frosty	fagyos
stormy	viharos
dry	száraz
wet	nedves
hot	meleg
cold	hideg
chilly	hűvös
sunny	napos
rainy	esős
fine	szép
dull	szomorkás
overcast	borús
humid	nedves
raindrop	esőcsepp
snowflake	hópehely
hailstone	jégesőszem / jégszem
to melt	olvasztani
to freeze	fagyni
to thaw	olvadni
to snow	havazni
to rain	esőnek esni
to hail	jégesőnek esni
weather forecast	időjárás előrejelzés
rainfall	csapadék
temperature	hőmérséklet
humidity	nedvesség, páratartalom
thermometer	hőmérő
high pressure	nagy nyomás
low pressure	kis nyomás
barometer	barométer
degree	fok
celsius	celsius
fahrenheit	fahrenheit
climate	éghajlat
climate change	éghajlatváltozás
global warming	globális felmelegedés

#Iskola

school	iskola
nursery school	óvoda
primary school	általános iskola
secondary school	középiskola
state school	állami iskola
private school, independent school	privát iskola
boarding school	bentlakásos iskola
sixth-form college	a középiskola szabadon választható utolsó általában két éve
technical college	műszaki főiskola
vocational college	szakiskola
art college	képzőművészeti főiskola
teacher training college	tanárképző főiskola
university	egyetem
classroom	osztályterem
desk	iskolapad
blackboard	iskolatábla
whiteboard	fehértábla
chalk	kréta
marker pen, marker	filctoll
pen	toll
pencil	ceruza
exercise book	füzet
lesson	tanóra
homework	házifeladat
test	teszt
term	félév
half term	félévi iskolai szünet
class	osztály
reading	olvasás
writing	írás
spelling	betűzés
to read	olvasni
to write	írni
to spell	betűzni
to teach	tanítani
head teacher	igazgató
headmaster	igazgató
headmistress	igazgatónő
teacher	tanár
pupil	tanuló
head boy	a diákokat kéviselő vezető fiú
head girl	a diákokat képviselő vezető lány
prefect	prefektus
school governor vagy governor	iskolai igazgató
register	nyilvántartás
assembly	iskolai gyűlés
break	szünet
school holidays	iskolai szünet
school meals	iskolai étkeztetés
school dinners	menza
computer room	számítógépes terem
cloakroom	ruhatár
changing room	öltöző
playground	játszótér
library	könyvtár
lecture hall	előadóterem
laboratory	laboratórium
hall of residence	kollégium
locker	öltözőszekrény
playing field	sportpálya
sports hall	sportcsarnok
professor	professzor
lecturer	előadó
researcher	kutató
research	kutatás
undergraduate	egyetemi hallgató
graduate	egyetemet végzett
post-graduate, post-graduate student	posztgraduális hallgató
masters student	mester hallgató
phd student	doktorandusz
master's degree	mesterfokozat
bachelor's degree	bsc fokozat
degree	egyetemi diploma
thesis	tézis
dissertation	disszertáció
lecture	előadás
debate	vita
higher education	felsőoktatás
semester	félév
student loan	diák kölcsön
student union	hallgatói önkormányzat
tuition fees	tandíj
university campus	egyetemi campus
exam, examination	vizsga
to sit an exam	vizsgázni
essay, paper	esszé
to fail an exam	megbukni a vizsgán
to pass an exam	levizsgázni
to study	tanulni
to learn	megtanulni
to revise	ismételni
student	diák
curriculum	tananyag
course	kurzus
subject	tantárgy
grade	osztályzat
mark	osztályzat
exam results	vizsga eredmények
qualification	végzettség
certificate	oklevél
attendance	jelenlévők
calculator	számológép
projector	kivetítő
textbook	tankönyv
question	kérdés
answer	válasz
mistake, error	hiba
right, correct	jó
wrong	hibás
art	művészet
classics	klasszikusok
drama	dráma
fine art	képzőművészet
history	történelem
history of art	művészettörténelem
literature	irodalom
modern languages	modern nyelvek
music	zene
philosophy	filozófia
theology	teológia
astronomy	csillagászat
biology	biológia
chemistry	kémia
computer science	számítástechnika
dentistry	fogászat
engineering	mérnöki szak
geology	geológia
medicine	orvostudomány
physics	fizika
science	tudományok
veterinary medicine	állatorvosi
archaeology	régészet
economics	közgazdaságtan
media studies	média
politics	politika
psychology	pszihológia
social studies	szociológiai szak
sociology	szociológia
accountancy	könyvelés
architecture	építészet
business studies	kereskedelmi szak
geography	földrajz
design and technology	tervezés és technológia
law	jog
maths, mathematics)	matek, matematika
nursing	ápolás
religious studies	vallástudomány
sex education	szexuális felvilágosítás

#Jármű

accident	baleset
breakdown	elromlik
breathalyser	szonda
jack	kocsiemelő
jump leads	indítókábel
flat tyre	lapos kerék
fog	köd
icy road	jeges út
puncture	gumidefekt
speeding fine	gyorshajtás büntetés
spray	permet
traffic jam	forgalmi dugó
to crash	összetörik
to have an accident	balesetet szenved
to skid	megcsúszni
to stall	elakadni / lefulladni
to swerve	elkanyarodni
driving instructor	autóvezető oktató
driving lesson	autóvezetői óra
driving licence	jogosítvány (vezetői engedély)
driving school	autós-/motorosiskola
driving test	autóvezetői vizsga
learner driver	tanulóvezető
to fail your driving test	megbukni az autóvezetői vizsgán
to pass your driving test	átmenni az autóvezetői vizsgán
car park	parkoló
disabled parking space	mozgássérült parkolóhely
multi-storey car park	többemeletes parkolóház
to park	leparkolni
parking meter	parkoló óra
parking space	parkolóhely
parking ticket	parkoló jegy
traffic warden	parkolási ellenőr
car wash	autómosó
diesel	dízel
oil	olaj
petrol	benzin
petrol pump	benzinkút
petrol station	benzinkút
bike, bicycle	kerékpár
camper van	lakóautó
bus	busz
car	autó
caravan	vontatott lakókocsi
coach	távolsági busz
lorry	teherautó
minibus	minibusz
moped	moped
motorbike, motorcycle	motorkerékpár
scooter	robogó
taxi	taxi
tractor	traktor
truck	kamion
van	furgon
car hire	autókölcsönzés
car keys	autókulcsok
cyclist	kerékpáros
driver	sofőr
garage	autószervíz
mechanic	szerelő
insurance	biztosítás
passenger	utas
pedestrian	gyalogos
reverse gear	tolatási fokozat
road map	úti térkép
second-hand	használt
speed	sebesség
traffic	forgalom
tyre pressure	kerékben való légnyomás
vehicle	gépjármű
to accelerate	gyorsulni
to brake	fékezni
to change gear	sebességet váltani
to drive	vezetni
to overtake	megelőzni
to reverse	tolatni
to slow down	lelassulni
to speed up	gyorsítani
to steer	kormányozni
accelerator	gázpedál
brake pedal	fékpedál
clutch pedal	kuplungpedál
fuel gauge	üzemanyagszint-jelző
gear stick	sebességváltókar
handbrake	kézifék
speedometer	sebességmérő
steering wheel	kormány
temperature gauge	hőmérséklet mérő
warning light	figyelmeztető lámpa
battery	akkumulátor
brakes	fék
clutch	kuplung
engine	motor
fan belt	ékszíj
exhaust	kipufogó
exhaust pipe	kipufogócső
gear box	sebességváltó
ignition	gyújtás
radiator	hűtő (autóban)
spark plug	gyertya (autóban)
windscreen wiper	ablaktörlő
windscreen wipers	ablaktörlők
air conditioning	légkondicionáló
automatic	autómata sebváltó
central locking	központi zár
manual	manuális sebváltó
tax disc	gépjárműadó matrica
brake light	féklámpa
hazard lights	vészjelző lámpa
headlamp	első lámpa
headlamps	fényszórók (első lámpák)
headlights	fényszórók (első lámák)
indicator	index
indicators	indexek
rear view mirror	visszapillantó tükör
sidelights	oldalsó lámpa
wing mirror	oldalsó visszapillantó tükör
aerial	antenna
back seat	hátsó ülés
bonnet	motorháztető
boot	csomagtartó
bumper	lökhárító
child seat	gyermekülés
cigarette lighter	szivargyújtó
dashboard	műszerfal
front seat	első ülés
fuel tank	üzemanyagtartály
glove compartment	kesztyűtartó
glovebox	kesztyűtartó
heater	fűtő
number plate	rendszám
passenger seat	utasülés
petrol tank	benzintartály
roof	tető
roof rack	tetőcsomagtartó
seatbelt	biztonsági öv
spare wheel	pótkerék
tow bar	vontatórúd
tyre	kerékgumi
wheel	kerék
window	ablak
windscreen	szélvédő

#Kommunikáció

answerphone	üzenetrögzítő
area code	körzeti hívószám
battery	elem
business call	üzleti hívás
cordless phone	vezeték nélküli telefon
country code	külföldi hívószám
directory enquiries	tudakozó
dialling tone	hívóhang
engaged	foglalt
ex-directory	telefonkönyvben nem szereplő
extension	mellék
interference	interferencia
international directory enquiries	nemzetközi tudakozó
fault	hiba
message	üzenet
off the hook	félretéve
operator	telefonkezelő
outside line	külső vonal
personal call	személyes hívás
phone (a következő rövidítése: telephone)	telefon
phone book vagy telephone directory	telefonkönyv
phone box vagy call box	telefonfülke
phone card	telefonkártya
phone number	telefonszám
receiver	telefonkagyló
switchboard	telefonközpont
wrong number	rossz szám
mobile	mobil, mobilszám
smartphone	okostelefon
missed call	nem fogadott hívás
mobile phone charger	mobiltelefon-töltő
ringtone	csengőhang
signal	jelzés
text message	sms
to call, to phone	hívni
to be cut off	a vonal megszakadt
to dial a number	tárcsázni egy számot
to hang up	lerakni a kagylót
to leave a message	üzenetet hagyni
to ring	megcsörgetni
to call someone back	visszahívni valakit
to text	szöveges üzenetet küldeni
to send a text message	szöveges üzenetet küldeni
to put the phone on loudspeaker	telefont kihangosítani

#Matematika

addition	plusz (meg)
subtraction	kivonás
multiplication	szorzás
division	osztás
to add	hozzáadni
to subtract vagy to take away	kivonni
to multiply	szorozni
to divide	osztani
to calculate	számolni
total	végösszeg
arithmetic	számtan
algebra	algebra
geometry	geometria
calculus	számítás
statistics	statisztika
integer	egész szám
even number	páros szám
odd number	páratlan szám
prime number	prímszám
fraction	törtszám
decimal	tizedes
decimal point	tizedes pont
percent	százalék
percentage	százaléka
theorem	tétel
proof	bizonyítás
problem	feladat
solution	megoldás
formula	képlet
equation	egyenlet
graph	grafikon
axis	tengely
average	átlag
correlation	korreláció
probability	valószínűség
dimensions	méretek
area	terület
circumference	kerület
diameter	átmérő
radius	sugár
length	hossz
height	magasság
width	szélesség
perimeter	kerület
angle	szög
right angle	derékszög
line	vonal
straight line	egyenes vonal
curve	görbe
parallel	párhuzamos
tangent	érintő
volume	térfogat
circle	kör
triangle	háromszög
square	négyzet
rectangle	téglalap
pentagon	ötszög
hexagon	hatszög
octagon	nyolcszög
oval	ovális
star	csillag
polygon	sokszög
cone	kúp
cube	kocka
cylinder	henger
pyramid	piramis
sphere	gömb
plus	plusz (meg)
minus	mínusz
times vagy multiplied by	szorozva
divided by	osztva
squared	négyzeten
cubed	köbön
square root	gyök
equals	egyenlő

#Munka

ad, advert, advertisement	reklám
application form	jelentkezési lap
appointment	időpont
cv, curriculum vitae	önéletrajz
job description	munka leírás
interview	meghallgatás
job offer, offer of employment	munkahely felajánlás
qualifications	végzettségek
to apply for a job	jelentkezni egy munkahelyre
to accept an offer	elfogadni egy ajánlatot
to reject an offer vagy to turn down an offer	elutasítani egy ajánlatot
to hire	felvenni
job	munka
career	karrier
part-time	fél állás
full-time	teljes állás
shift work	váltóműszak
temporary	átmeneti
contract	szerződés
permanent	állandó
starting date	kezdés dátuma
notice period	elbocsátási időtartam
bonus	jutalom
car allowance	autóhasználati juttatás
company car	céges autó
health insurance	egészségügyi biztosítás
holiday pay	fizetett szabadság
holiday entitlement	szabadság jogosultság
maternity leave	anyasági szabadság
overtime	túlóra
paternity leave	apasági szabadság
part-time education	levelező oktatás
pension scheme vagy pension plan	nyugdíj alap
promotion	előléptetés
salary	fizetés
salary increase	fizetés emelés
sick pay	betegállomány
staff restaurant	dolgozók étterme
training scheme	tréning
travel expenses	utazási költségek
wages	bér / munkabér
working conditions	munkahelyi viszonyok
working hours	munkahelyen töltött órák
owner	tulajdonos
managing director	vezérigazgató
director	igazgató
manager	menedzser
boss	főnök
colleague	kolléga
trainee	gyakornok
apprentice	szakmunkás gyakornok
volunteer	önkéntes
to fire	elbocsátani
to get the sack	kirúgni (bizalmas)
to resign	lemondani
to retire	nyugdíjba vonulni
leaving date	befejezés dátuma
redundant	redundáns (elbocsátott)
redundancy	redundancia (elbocsátás)
redundancy pay	végkielégítés
retirement age	nyugdíjkorhatár
apprenticeship	szakmunkás szakmai gyakorlat
department	osztály / tagozat
experience	tapasztalat
factory	gyár
fire drill	tűzriadó
health and safety	egészség és biztonság
internship	irodai szakmai gyakorlat
meeting	megbeszélés / tárgyalás
office	iroda
rate of pay	bérszint
reception	recepció
security	biztonsági személyzet
strike	sztrájk
switchboard	központ
timekeeping	időbetartás
trade union	szakszervezet
training course	képzési tanfolyam
work	munka
work experience	munkatapasztalat
to go on strike	sztrájkolni menni
to be off sick	betegszabadságon lenni
self-employed	magánvállalkozó
unemployed	munkanélküli
retired	nyugdíjas

#Napszakok

morning	reggel
afternoon	délután
evening	este
night, night time	éjjel, éjszaka
midday, noon	dél
midnight	éjfél
dawn	hajnal
dusk	szürkület
sunrise	napfelkelte
sunset	naplemente
now	most
then	akkor
immediately, straight away	haladéktalanul, azonnal
soon	hamarosan
earlier	korábban
later	később
never	soha
rarely	ritkán
occasionally	alkalmanként
sometimes	néha
often, frequently	sokszor, gyakran
usually, normally	rendszerint, általában
always	mindig
every day, daily	minden nap, naponta
every week, weekly	minden héten, hetente
every month, monthly	minden hónapban, havonta
every year, yearly	minden évben, évente
monday	hétfő
tuesday	kedd
wednesday	szerda
thursday	csütörtök
friday	péntek
saturday	szombat
sunday	vasárnap
january	január
february	február
march	március
april	április
may	május
june	június
july	július
august	augusztus
september	szeptember
october	október
november	november
december	december
in january	januárban
in february	februárban
in march	márciusban
in april	áprilisban
in may	májusban
in june	júniusban
in july	júliusban
in august	augusztusban
in september	szeptemberben
in october	októberben
in november	novemberben
in december	decemberben
spring	tavasz
summer	nyár
autumn, fall	ősz
winter	tél
in spring	tavasszal
in summer	nyáron
in autumn, in fall	ősszel
in winter	télen
new year's day	új év napja
april fools' day	április elseje, a bolondok napja
easter	húsvét
good friday	nagypéntek
easter monday	húsvét hétfő
may day	május 1 - a munka ünnepe
christmas	karácsony
christmas eve	szent este
christmas day	karácsony napja
boxing day	karácsony másnapja
new year's eve	szilveszter
mother's day	anyák napja
father's day	apák napja
valentine's day	valentin nap
bank holiday, public holiday	szabadnap/ünnepnap
chinese new year	kínai újév
independence day	függetlenség napja
thanksgiving	hálaadás
halloween	halloween
saint patrick's day	szent patrik napja

#Orvos, egészség

acne	pattanás
allergic reaction	allergiás reakció
allergy	allergia
altitude sickness	hegyibetegség
amnesia	amnézia
appendicitis	vakbélgyulladás
arthritis	arthritisz
asthma	aszma
athlete's foot	lábgombásodás
backache	hátfájás
bleeding	vérzés
blister	hólyag
boil	furunkulus
broken, broken bone, broken arm, broken leg)	törött (csont / kar / láb)
bronchitis	hörghurut
bruise	zúzódás
cancer	rák
chest pain	mellkasi fájdalom
chicken pox	bárányhimlő
cold	megfázás
cold sore	szájherpesz
concussion	agyrázkódás
conjunctivitis	kötőhártya-gyulladás
constipation	szorulás
cramp	görcs
corn	tyúkszem
cough	köhögés
cut	vágás
dehydration	kiszáradás (dehidráció)
dementia	demencia
depression	depresszió
diabetes	cukorbetegség
diarrhoea	hasmenés
