$Italian - Magyar 2
#Számok
zero	nulla
sightseeing 	városnézés
business trip 	üzleti út
to book 	foglalni
to cancel a booking 	lemondani a foglalást
to arrive 	megérkezni
to leave 	elhagyni
to depart 	eltávozni
to travel 	utazni
to visit 	ellátogatni
cancellation 	törlés
customs 	vám
delay 	késés
information desk 	információspult
luggage vagy baggage 	csomag
map 	térkép
passport control 	útlevél-ellenőrzés
suitcase 	bőrönd
cancelled 	törölt
delayed 	késik
bypass 	elkerülő út
country lane 	vidéki út
dual carriageway 	kétsávos út
main road 	főút
motorway 	autópálya
one-way street 	egyirányú út
ring road 	körút
road 	út
toll road 	vámköteles út
corner 	sarok
crossroads 	útkereszteződés
kerb 	járda
fork 	útelágazás
hard shoulder 	leállósáv
junction 	csomópont
lay-by 	leállósáv
level crossing 	vasúti átjáró
pavement (amerikai angol: sidewalk) 	járda
pedestrian crossing 	gyalogosátkelő
road sign 	közlekedési jelzőtábla
roadside 	országúti
roadworks 	közúti munka
roundabout 	körforgalom
services 	szolgáltatások
signpost 	útjelzőtábla
speed limit 	sebességkorlátozás
T-junction 	T - elágazás
toll 	úthasználati díj
traffic light 	közlekedési jelzőlámpa
turning 	kanyar


#Utazás
viaggio	utazás
turista	turista
vacanza	nyaralás
gita	kirándulás
escursione	túra
itinerario	útvonal
mappa	térkép
guida turistica	útikönyv, idegenvezető
passaporto	útlevél
visto	vízum
dogana	vám
frontiera	határ
assicurazione di viaggio	utazási biztosítás
prenotazione	foglalás
biglietto	jegy
andata e ritorno	oda-vissza út
solo andata	egyirányú út
aeroporto	repülőtér
volo	Repülőjárat
biglietto aereo	repülőjegy
compagnia aerea	légitársaság
imbarco	beszállás
atterraggio	leszállás
decollo	felszállás
ritardo	késés
bagaglio	poggyász
valigia	bőrönd
zaino	hátizsák
check-in	bejelentkezés
controllo passaporti	útlevél-ellenőrzés
controllo di sicurezza	biztonsági ellenőrzés
carrello portabagagli	poggyászkocsi
uscita di imbarco	beszállókapu
terminal	terminál
cintura di sicurezza	biztonsági öv
noleggio auto	autóbérlés
fermata dell'autobus	buszmegálló
stazione ferroviaria	vasútállomás
biglietteria	jegypénztár
treno	vasút
binario	vágány
carrozza	vagon
posto a sedere	ülőhely
metropolitana	metró
taxi	taxi
nave	hajó
traghetto	komp
porto	kikötő
crociera	hajóút
campeggio	kemping
tenda	sátor
ostello	hosztel
albergo	szálloda
hotel	szálloda
reception	porta, recepció
prenotazione	foglalás
chiave della camera	szobakulcs
camera singola	egyágyas szoba
camera doppia	kétágyas szoba
suite	lakosztály
mezza pensione	félpanzió
pensione completa	teljes panzió
colazione	reggeli
pranzo	ebéd
cena	vacsora
ristorante	étterem
menu	étlap
conto	számla
mancia	borravaló
souvenir	szuvenír
escursione organizzata	szervezett kirándulás
ufficio turistico	turistainformáció
vista panoramica	kilátás
spiaggia	tengerpart
mare	tenger
montagna	hegy
lago	tó
città	város
centro storico	óváros
museo	múzeum
chiesa	templom
castello	vár, kastély
monumento	emlékmű
parco	nagykert, park
mercato	piac
negozio	bolt
shopping	vásárlás
cartolina	képeslap
fotocamera	fényképezőgép
telefono cellulare	mobiltelefon
caricabatterie	töltő
presa di corrente	konnektor
Wi-Fi	Wi-Fi
connessione Internet	internetkapcsolat
app di navigazione	navigációs alkalmazás
prenotare	foglalni
partire	indulni
arrivare	megérkezni
viaggiare	utazni
perdere il volo	lekésni a járatot
fare le valigie	bepakolni a bőröndöt
disfare le valigie	kicsomagolni
visitare	megtekinteni
esplorare	felfedezni
camminare	sétálni
guidare	vezetni
scattare foto	fotózni
fare shopping	vásárolni
rilassarsi	pihenni
prenotare un viaggio	lefoglalni egy utazást
navigare su Internet	internetezni


#Shopping
economico	olcsó
cliente	vásárló
sconto	leárazás
costoso	drága
prezzo	ár
svendita	kiárusítás
negozio	üzlet
borsa della spesa	bevásárlószatyor/-tasak
lista della spesa	bevásárlólista
offerta speciale	különleges ajánlat
comprare	vásárolni
vendere	eladni
ordinare	megrendelni
andare a fare shopping	vásárolni menni
corridoio	áruházi folyosó a polcok között
cestino	kosár
bancone	pult
camerino	öltöző
responsabile	üzletvezető/menedzser
scaffale	polc
commesso/eladó	eladó
vetrina	kirakat
magazzino	raktár
carrello della spesa	bevásárlókocsi
cassiere	pénztáros
contanti	készpénz
resto	apró
cassa	fizetés
reclamo	panasz
carta di credito	hitelkártya
disponibile in magazzino	raktáron
esaurito	nincs raktáron
sacchetto di plastica	műanyag szatyor/tasak
borsellino	erszény
fila	sor
scontrino	nyugta
rimborso	visszatérítés
registratore di cassa	pénztár
portafoglio	pénztárca

#Piperecikkek, Kozmetikum
dopobarba	borotválkozás utáni arcszesz
pettine	fésű
balsamo	hajkondicionáló
filo interdentale	fogselyem
deodorante	dezodor
spazzola per capelli	hajkefe
collutorio	szájvíz
limetta per unghie	körömreszelő
forbicine per unghie	körömvágó olló
salvaslip	tisztasági betét
profumo	parfüm
rasoio	borotva
lama da rasoio	borotvapenge
assorbenti	egészségügyi betét
pennello da barba	borotvapamacs
crema da barba	borotvakrém
schiuma da barba	borotvahab
gel da barba	borotvagél
shampoo	sampon
bagnoschiuma	fürdő-gél
sapone	szappan
assorbenti interni	tampon
spazzolino da denti	fogkefe
dentifricio	fogkrém
pinzetta	csipesz
ovatta	vatta
eyeliner	szemceruza
ombretto	szemhéjfesték
cipria	arcpúder
fondotinta	alapozó
tinta per capelli	hajfesték
gel per capelli	hajzselé
lacca per capelli	hajlakk
cera per capelli	hajvax
crema per le mani	kézkrém
lucidalabbra	szájfény
rossetto	rúzs
trucco	smink
mascara	szempillafesték
crema idratante	testápoló krém
smalto per unghie	körömlakk
solvente per smalto	körömlakklemosó


#Orvos, egészség
incidente	baleset
ferita	sérülés
taglio	vágás
abrasione	horzsolás
ustione	égési sérülés
livido	zúzódás
frattura	törés
slogatura	rándulás
distorsione	ficam
sanguinamento	vérzés
commozione cerebrale	agyrázkódás
punto di sutura	varrat
pronto soccorso	sürgősségi osztály
ambulanza	mentőautó
chiamare un'ambulanza	mentőt hívni
rianimazione	újraélesztés
massaggio cardiaco	szív masszázs
respirazione bocca a bocca	szájból szájba lélegeztetés
intossicazione da alcol	alkoholmérgezés
soffocamento	fulladás
avere un incidente	balesetet szenvedni
cadere	leesni
scivolare	elcsúszni
bruciarsi	megégetni magát
tagliarsi	elvágni magát
slogarsi una caviglia	kibicsaklik a bokája


#Testrészek
corpo	test
testa	fej
viso vagy faccia	arc
fronte	homlok
occhio	szem
occhi	szemek
sopracciglia	szemöldök
ciglia	szempilla
naso	orr
guancia	orca, pofa
bocca	száj
labbra	ajkak
dente	fog
denti	fogak
lingua	nyelv
orecchio	fül
orecchie	fülek
mento	áll
collo	nyak
spalla	váll
braccio	kar
braccia	karok
gomito	könyök
polso	csukló
mano	kéz
mani	kezek
dito	ujj
dita	ujjak
unghia	köröm
petto	mellkas
seno	mell (női)
schiena	hát
addome vagy pancia	has
ombelico	köldök
vita	derék
fianco	csípő
natica	fenék (egyik fele)
glutei	fenekek
inguine	ágyék
gamba	láb (egész)
gambe	lábak
coscia	comb
ginocchio	térd
ginocchia	térdek
polpaccio	vádli
caviglia	boka
piede	lábfej
piedi	lábfejek
tallone	sarok


#Érzékelés
olfatto	szaglás
tatto	érintés
vista	látás
udito	hallás
gusto	ízlelés
annusare	szagolni
toccare	érinteni
vedere	látni
sentire	hallani
assaporare vagy gustare	ízlelni

#Mondatok, kifejezések
Ciao! , Salve!	Szia! , Üdv!
Buongiorno!	Jó napot!
Buonasera!	Jó estét!
Buonanotte!	Jó éjszakát!
Arrivederci!	Viszontlátásra!
A dopo! , A presto!	Később találkozunk! , Hamarosan találkozunk!
Mi scusi , Scusa!	Elnézést!
Per favore , Per cortesia	Kérem , Legyen szíves
Grazie!	Köszönöm!
Grazie mille!	Nagyon szépen köszönöm!
Prego!	Szívesen!
Sì	Igen
No	Nem
Forse	Talán
Non lo so	Nem tudom
Va bene!	Rendben!
D'accordo!	Egyetértek!
Non capisco!	Nem értem!
Può ripetere, per favore?	Megismételné, kérem?
Parla inglese?	Beszél angolul?
Parlo solo un po' di italiano	Csak egy kicsit beszélek olaszul
Mi chiamo	A nevem
Sono un turista	Turista vagyok
Ho bisogno di aiuto!	Segítségre van szükségem!
Dov'è il bagno?	Hol van a mosdó?
Quanto costa?	Mennyibe kerül?
Accettate carte di credito?	Elfogadnak hitelkártyát?
Posso pagare con la carta?	Fizethetek kártyával?
Il conto, per favore!	A számlát, kérem!

Dov'è la stazione ferroviaria?	Hol van a vasútállomás?
Dov'è la fermata dell’autobus?	Hol van a buszmegálló?
Dov'è la metropolitana?	Hol van a metró?
Vorrei un biglietto per …	Szeretnék egy jegyet … (hely megnevezése)
Quanto costa un biglietto?	Mennyibe kerül egy jegy?
A che ora parte il treno?	Mikor indul a vonat?
A che ora arriva l’autobus?	Mikor érkezik a busz?
Dov’è il terminal dei taxi?	Hol van a taxiállomás?
Può portarmi a …?	El tud vinni …? (hely megnevezése)
Quanto costa il viaggio fino a …?	Mennyibe kerül az út …-ig?
Mi può dire dove scendere?	Meg tudja mondani, hol kell leszállnom?

Avete un tavolo libero?	Van szabad asztaluk?
Vorrei prenotare un tavolo per due.	Szeretnék foglalni egy asztalt két főre.
Il menù, per favore!	Az étlapot, kérem!
Qual è la specialità della casa?	Mi a ház specialitása?
Vorrei ordinare …	Szeretnék rendelni … (étel neve)
C'è qualcosa di vegetariano?	Van valami vegetáriánus étel?
Senza glutine, per favore!	Gluténmentesen, kérem!
Senza lattosio, per favore!	Laktózmentesen, kérem!
Un bicchiere d’acqua, per favore!	Egy pohár vizet, kérem!
Un caffè, per favore!	Egy kávét, kérem!
Il conto, per favore!	A számlát, kérem!
Accettate carte di credito?	Elfogadnak bankkártyát?
Il servizio è incluso?	Benne van a szervizdíj?
Manca una portata!	Hiányzik egy fogás!
Era tutto delizioso!	Minden nagyon finom volt!

Quanto costa questo?	Mennyibe kerül ez?
Posso provarlo?	Felkaphatom? (pl. ruhára)
Avete una taglia più grande/più piccola?	Van nagyobb/kisebb méret?
C’è uno sconto?	Van valami kedvezmény?
Accettate carte di credito?	Elfogadnak bankkártyát?
Mi fa lo scontrino, per favore?	Kaphatok nyugtát?
Vorrei una ricevuta fiscale.	Kérek egy számlát.
Posso pagare in contanti?	Fizethetek készpénzzel?

Aiuto!	Segítség!
Chiamate un’ambulanza!	Hívjanak mentőt!
Mi sono perso(a).	Elvesztem.
Può aiutarmi?	Tud segíteni nekem?
Dov'è la farmacia più vicina?	Hol van a legközelebbi gyógyszertár?
C’è un medico qui vicino?	Van itt egy orvos a közelben?
Ho bisogno di un dottore.	Orvosra van szükségem.
Non mi sento bene.	Nem érzem jól magam.
Mi hanno rubato …	Ellopták a …-mat.
Ho perso il mio portafoglio.	Elvesztettem a pénztárcámat.
C’è una stazione di polizia qui vicino?	Van itt a közelben egy rendőrség?
Il mio telefono è scarico.	Le van merülve a telefonom.

Dove si trova …?	Hol található …? (pl. egy múzeum, templom stb.)
Quali sono i posti migliori da visitare?	Melyek a legjobb helyek, amiket érdemes meglátogatni?
Quanto costa l’ingresso?	Mennyibe kerül a belépő?
C’è una guida turistica disponibile?	Elérhető idegenvezető?
Posso scattare delle foto?	Készíthetek fényképeket?
A che ora chiude il museo?	Mikor zár a múzeum?

Che tempo fa oggi?	Milyen az idő ma?
Fa caldo.	Meleg van.
Fa freddo.	Hideg van.
Piove.	Esik az eső.
